Date,Close,High,Low,Open,Volume,Asset
2019-01-01,3843.52001953125,3850.913818359375,3707.231201171875,3746.71337890625,4324200990,Bitcoin
2019-01-01,140.8194122314453,141.3975067138672,132.6507110595703,133.41815185546875,2258709868,Ethereum
2019-01-02,3943.409423828125,3947.981201171875,3817.409423828125,3849.21630859375,5244856836,Bitcoin
2019-01-02,155.0476837158203,156.92913818359375,140.6509552001953,141.51951599121094,3328240369,Ethereum
2019-01-02,121.33000183105467,121.75,120.87999725341795,121.3499984741211,12776200,Gold
2019-01-02,2510.030029296875,2519.489990234375,2467.469970703125,2476.9599609375,3733160000,SP500
2019-01-03,3836.7412109375,3935.68505859375,3826.222900390625,3931.048583984375,4530215219,Bitcoin
2019-01-03,149.135009765625,155.86305236816406,147.1983642578125,155.196044921875,2676164880,Ethereum
2019-01-03,122.43000030517578,122.45999908447266,121.7300033569336,121.77999877929688,15440800,Gold
2019-01-03,2447.889892578125,2493.139892578125,2443.9599609375,2491.919921875,3858830000,SP500
2019-01-04,3857.717529296875,3865.9345703125,3783.853759765625,3832.0400390625,4847965467,Bitcoin
2019-01-04,154.58193969726562,156.8789825439453,147.9071044921875,148.9128875732422,3126192535,Ethereum
2019-01-04,121.44000244140624,121.5999984741211,120.69000244140624,121.31999969482422,13334000,Gold
2019-01-04,2531.93994140625,2538.070068359375,2474.330078125,2474.330078125,4234140000,SP500
2019-01-05,3845.194580078125,3904.903076171875,3836.900146484375,3851.973876953125,5137609824,Bitcoin
2019-01-05,155.6385955810547,160.82489013671875,154.33741760253906,154.33741760253906,3338211928,Ethereum
2019-01-06,4076.632568359375,4093.29736328125,3826.51318359375,3836.51904296875,5597027440,Bitcoin
2019-01-06,157.74620056152344,159.37144470214844,152.08592224121094,155.80422973632812,3231294371,Ethereum
2019-01-07,4025.248291015625,4092.613525390625,4020.89404296875,4078.5849609375,5228625637,Bitcoin
2019-01-07,151.69921875,158.45042419433594,151.15072631835938,157.8094940185547,2712108388,Ethereum
2019-01-07,121.86000061035156,122.22000122070312,121.56999969482422,122.16000366210938,7473600,Gold
2019-01-07,2549.68994140625,2566.159912109375,2524.56005859375,2535.610107421875,4133120000,SP500
2019-01-08,4030.847900390625,4109.02099609375,3996.955322265625,4028.47216796875,5306593305,Bitcoin
2019-01-08,150.35963439941406,153.6257781982422,148.66954040527344,151.96754455566406,2459808140,Ethereum
2019-01-08,121.52999877929688,121.70999908447266,121.05999755859376,121.1500015258789,7643100,Gold
2019-01-08,2574.409912109375,2579.820068359375,2547.56005859375,2568.110107421875,4120060000,SP500
2019-01-09,4035.29638671875,4068.403564453125,4022.662841796875,4031.552001953125,5115905225,Bitcoin
2019-01-09,150.80311584472656,153.62225341796875,150.2883758544922,150.5546875,2369241197,Ethereum
2019-01-09,122.30999755859376,122.33999633789062,121.44000244140624,121.4499969482422,10555900,Gold
2019-01-09,2584.9599609375,2595.320068359375,2568.889892578125,2580.0,4088740000,SP500
2019-01-10,3678.924560546875,4064.066650390625,3659.174560546875,4034.411376953125,6874143796,Bitcoin
2019-01-10,128.62518310546875,152.1482696533203,126.52937316894533,150.843505859375,3397734456,Ethereum
2019-01-10,121.58999633789062,122.18000030517578,121.56999969482422,121.9800033569336,6672000,Gold
2019-01-10,2596.639892578125,2597.820068359375,2562.02001953125,2573.510009765625,3721300000,SP500
2019-01-11,3687.365478515625,3713.8818359375,3653.06982421875,3674.015380859375,5538712865,Bitcoin
2019-01-11,127.54832458496094,130.1659393310547,125.24494171142578,127.81396484375,2667585234,Ethereum
2019-01-11,121.8000030517578,122.0500030517578,121.66000366210938,121.73999786376952,8622400,Gold
2019-01-11,2596.260009765625,2596.27001953125,2577.39990234375,2588.110107421875,3447460000,SP500
2019-01-12,3661.301025390625,3698.978271484375,3653.810791015625,3686.97314453125,4778170883,Bitcoin
2019-01-12,125.9665298461914,128.66612243652344,125.4467544555664,127.52808380126952,2212109224,Ethereum
2019-01-13,3552.953125,3674.760009765625,3544.92724609375,3658.8681640625,4681302466,Bitcoin
2019-01-13,116.8978042602539,126.26787567138672,116.08596801757812,125.9072265625,2268263944,Ethereum
2019-01-14,3706.05224609375,3727.836181640625,3552.28515625,3557.31103515625,5651384490,Bitcoin
2019-01-14,129.0687255859375,130.8567352294922,116.96755981445312,116.97909545898438,2798085735,Ethereum
2019-01-14,122.08999633789062,122.23999786376952,121.87000274658205,122.1500015258789,6477100,Gold
2019-01-14,2582.610107421875,2589.320068359375,2570.409912109375,2580.31005859375,3689370000,SP500
2019-01-15,3630.67529296875,3720.1533203125,3619.94921875,3704.21630859375,5537192302,Bitcoin
2019-01-15,122.03271484375,130.74356079101562,120.3115234375,129.1726837158203,2735449164,Ethereum
2019-01-15,121.87999725341795,122.37999725341795,121.62000274658205,122.27999877929688,7512500,Gold
2019-01-15,2610.300048828125,2613.080078125,2585.10009765625,2585.10009765625,3601180000,SP500
2019-01-16,3655.0068359375,3685.777099609375,3624.67333984375,3631.509765625,5394457145,Bitcoin
2019-01-16,123.54706573486328,127.11824798583984,121.44141387939452,121.80924224853516,2746469340,Ethereum
2019-01-16,122.2699966430664,122.44000244140624,122.0199966430664,122.04000091552734,6878100,Gold
2019-01-16,2616.10009765625,2625.760009765625,2612.679931640625,2614.75,3882180000,SP500
2019-01-17,3678.56396484375,3680.135986328125,3621.9609375,3651.87109375,5464420383,Bitcoin
2019-01-17,123.7419204711914,124.27072143554688,120.81703186035156,123.57353973388672,2594091285,Ethereum
2019-01-17,122.11000061035156,122.26000213623048,121.80999755859376,122.02999877929688,8558500,Gold
2019-01-17,2635.9599609375,2645.06005859375,2606.360107421875,2609.280029296875,3802410000,SP500
2019-01-18,3657.83935546875,3682.52001953125,3637.080810546875,3677.990478515625,5002961727,Bitcoin
2019-01-18,121.01026153564452,123.84169006347656,120.2418975830078,123.65465545654295,2305389800,Ethereum
2019-01-18,121.0199966430664,121.5199966430664,121.0199966430664,121.2300033569336,10896000,Gold
2019-01-18,2670.7099609375,2675.469970703125,2647.580078125,2651.27001953125,4009010000,SP500
2019-01-19,3728.568359375,3758.533447265625,3652.3779296875,3652.3779296875,5955691380,Bitcoin
2019-01-19,124.5190200805664,125.90422821044922,121.1610336303711,121.61442565917967,3048261797,Ethereum
2019-01-20,3601.013671875,3743.387939453125,3583.01953125,3725.446044921875,5582489560,Bitcoin
2019-01-20,119.4748306274414,125.07038879394533,118.70232391357422,124.63240051269533,2964108269,Ethereum
2019-01-21,3576.032470703125,3608.8408203125,3558.537109375,3600.372802734375,5004347059,Bitcoin
2019-01-21,117.15785217285156,119.71543884277344,116.15744018554688,119.63645935058594,2421720343,Ethereum
2019-01-22,3604.5771484375,3620.74658203125,3539.721435546875,3575.081298828125,5313623556,Bitcoin
2019-01-22,118.74755096435548,119.66434478759766,114.67668151855467,117.11075592041016,2552507405,Ethereum
2019-01-22,121.4499969482422,121.5,120.9000015258789,121.18000030517578,7896500,Gold
2019-01-22,2632.89990234375,2657.8798828125,2617.27001953125,2657.8798828125,3923950000,SP500
2019-01-23,3585.123046875,3623.06787109375,3565.31396484375,3605.55712890625,5433755649,Bitcoin
2019-01-23,117.45260620117188,119.42279815673828,116.37664794921876,118.71381378173828,2556952198,Ethereum
2019-01-23,121.27999877929688,121.54000091552734,120.86000061035156,120.95999908447266,5224900,Gold
2019-01-23,2638.699951171875,2653.18994140625,2612.860107421875,2643.47998046875,3358770000,SP500
2019-01-24,3600.865478515625,3616.08740234375,3569.0927734375,3584.500244140625,5262869046,Bitcoin
2019-01-24,117.36288452148438,118.0321044921875,116.00679779052734,117.46278381347656,2520843420,Ethereum
2019-01-24,121.08999633789062,121.36000061035156,120.91999816894533,121.16000366210938,5662500,Gold
2019-01-24,2642.330078125,2647.199951171875,2627.010009765625,2638.840087890625,3449230000,SP500
2019-01-25,3599.765869140625,3612.927734375,3575.597412109375,3607.390380859375,5265847539,Bitcoin
2019-01-25,116.37834167480467,117.80299377441406,115.83015441894533,117.59495544433594,2606881898,Ethereum
2019-01-25,122.86000061035156,122.91000366210938,122.0199966430664,122.0199966430664,11103300,Gold
2019-01-25,2664.760009765625,2672.3798828125,2657.330078125,2657.43994140625,3821000000,SP500
2019-01-26,3602.46044921875,3654.93310546875,3593.345947265625,3599.71533203125,5098183235,Bitcoin
2019-01-26,116.48873901367188,118.08411407470705,115.98057556152344,116.37352752685548,2412181169,Ethereum
2019-01-27,3583.9658203125,3612.67138671875,3567.245849609375,3604.687255859375,5570752966,Bitcoin
2019-01-27,113.40528869628906,116.68540954589844,113.40528869628906,116.51031494140624,2775888287,Ethereum
2019-01-28,3470.450439453125,3586.7509765625,3439.23291015625,3584.283203125,6908930483,Bitcoin
2019-01-28,106.58997344970705,113.688232421875,103.33646392822266,113.28523254394533,3366895505,Ethereum
2019-01-28,123.29000091552734,123.29000091552734,122.72000122070312,122.75,8522200,Gold
