Date,Close,High,Low,Open,Volume,Asset,Daily_Return,Log_Return,Cumulative_Return,Rolling_Mean_30,Rolling_STD_30
2019-01-01,3843.52001953125,3850.913818359375,3707.231201171875,3746.71337890625,4324200990,Bitcoin,,,,,
2019-01-01,140.8194122314453,141.3975067138672,132.6507110595703,133.41815185546875,2258709868,Ethereum,,,,,
2019-01-02,3943.409423828125,3947.981201171875,3817.409423828125,3849.21630859375,5244856836,Bitcoin,0.025989042281366226,0.025657066653891034,0.025989042281366226,,
2019-01-02,155.0476837158203,156.92913818359375,140.6509552001953,141.51951599121094,3328240369,Ethereum,0.10103913415708599,0.09625440130240162,0.10103913415708599,,
2019-01-02,121.33000183105467,121.75,120.87999725341795,121.3499984741211,12776200,Gold,,,,,
2019-01-02,2510.030029296875,2519.489990234375,2467.469970703125,2476.9599609375,3733160000,SP500,,,,,
2019-01-03,3836.7412109375,3935.68505859375,3826.222900390625,3931.048583984375,4530215219,Bitcoin,-0.02704974336321264,-0.02742232180619206,-0.001763698005813108,,
2019-01-03,149.135009765625,155.86305236816406,147.1983642578125,155.196044921875,2676164880,Ethereum,-0.0381345519552061,-0.03888070499602084,0.059051500090857356,,
2019-01-03,122.43000030517578,122.45999908447266,121.7300033569336,121.77999877929688,15440800,Gold,0.009066170423806641,0.00902531942317321,0.009066170423806641,,
2019-01-03,2447.889892578125,2493.139892578125,2443.9599609375,2491.919921875,3858830000,SP500,-0.02475673039503723,-0.02506833181891511,-0.02475673039503723,,
2019-01-04,3857.717529296875,3865.9345703125,3783.853759765625,3832.0400390625,4847965467,Bitcoin,0.005467222626216461,0.005452331614920808,0.003693882090760159,,
2019-01-04,154.58193969726562,156.8789825439453,147.9071044921875,148.9128875732422,3126192535,Ethereum,0.03652348258266658,0.03587230828845264,0.09773174910857274,,
2019-01-04,121.44000244140624,121.5999984741211,120.69000244140624,121.31999969482422,13334000,Gold,-0.008086235900529481,-0.008119106827353381,0.0009066233305159432,,
2019-01-04,2531.93994140625,2538.070068359375,2474.330078125,2474.330078125,4234140000,SP500,0.03433571464262353,0.03375939906034647,0.008728944217258006,,
2019-01-05,3845.194580078125,3904.903076171875,3836.900146484375,3851.973876953125,5137609824,Bitcoin,-0.003246206888826486,-0.003251487248933267,0.0004356840964441222,,
2019-01-05,155.6385955810547,160.82489013671875,154.33741760253906,154.33741760253906,3338211928,Ethereum,0.006835571386013317,0.006812314789194003,0.10523537284229767,,
2019-01-06,4076.632568359375,4093.29736328125,3826.51318359375,3836.51904296875,5597027440,Bitcoin,0.06018888861446059,0.058447089054905726,0.06065079605245671,,
2019-01-06,157.74620056152344,159.37144470214844,152.08592224121094,155.80422973632812,3231294371,Ethereum,0.013541660232799568,0.013450791376217247,0.12020209473859955,,
2019-01-07,4025.248291015625,4092.613525390625,4020.89404296875,4078.5849609375,5228625637,Bitcoin,-0.01260458883210791,-0.012684700557385667,0.04728172887376747,,
2019-01-07,151.69921875,158.45042419433594,151.15072631835938,157.8094940185547,2712108388,Ethereum,-0.03833361304423322,-0.03908767956864358,0.07726070110755057,,
2019-01-07,121.86000061035156,122.22000122070312,121.56999969482422,122.16000366210938,7473600,Gold,0.003458482876331992,0.0034525160778516237,0.004368241748111901,,
2019-01-07,2549.68994140625,2566.159912109375,2524.56005859375,2535.610107421875,4133120000,SP500,0.007010434848680358,0.006985975995229761,0.01580057276067115,,
2019-01-08,4030.847900390625,4109.02099609375,3996.955322265625,4028.47216796875,5306593305,Bitcoin,0.0013911214837352137,0.0013901547706836324,0.048738624986327084,,
2019-01-08,150.35963439941406,153.6257781982422,148.66954040527344,151.96754455566406,2459808140,Ethereum,-0.0088305290009012,-0.008869749182799697,0.0677479192448891,,
2019-01-08,121.52999877929688,121.70999908447266,121.05999755859376,121.1500015258789,7643100,Gold,-0.00270804061547536,-0.0027117139907279018,0.001648371756564515,,
2019-01-08,2574.409912109375,2579.820068359375,2547.56005859375,2568.110107421875,4120060000,SP500,0.009695285023358924,0.009648587336497393,0.02564904884047703,,
2019-01-09,4035.29638671875,4068.403564453125,4022.662841796875,4031.552001953125,5115905225,Bitcoin,0.0011036105648376537,0.0011030020343775215,0.04989602401261539,,
2019-01-09,150.80311584472656,153.62225341796875,150.2883758544922,150.5546875,2369241197,Ethereum,0.0029494714261837363,0.0029451302693207656,0.07089721122306902,,
2019-01-09,122.30999755859376,122.33999633789062,121.44000244140624,121.4499969482422,10555900,Gold,0.006418158373500793,0.006397649700215412,0.008077109641057234,,
2019-01-09,2584.9599609375,2595.320068359375,2568.889892578125,2580.0,4088740000,SP500,0.004098045450532162,0.004089671332822161,0.029852205258920295,,
2019-01-10,3678.924560546875,4064.066650390625,3659.174560546875,4034.411376953125,6874143796,Bitcoin,-0.08831366819666353,-0.0924592824929815,-0.04282414509303101,,
2019-01-10,128.62518310546875,152.1482696533203,126.52937316894533,150.843505859375,3397734456,Ethereum,-0.1470654808093831,-0.15907249974701015,-0.08659480204287906,,
2019-01-10,121.58999633789062,122.18000030517578,121.56999969482422,121.9800033569336,6672000,Gold,-0.005886691481276629,-0.005904086348646563,0.002142870707263267,,
2019-01-10,2596.639892578125,2597.820068359375,2562.02001953125,2573.510009765625,3721300000,SP500,0.004518418782931244,0.004508241374462229,0.03450550880680536,,
2019-01-11,3687.365478515625,3713.8818359375,3653.06982421875,3674.015380859375,5538712865,Bitcoin,0.0022943982214995717,0.002291770109090111,-0.04062800251387011,,
2019-01-11,127.54832458496094,130.1659393310547,125.24494171142578,127.81396484375,2667585234,Ethereum,-0.008372065986680277,-0.008407308571134387,-0.09424189063275279,,
2019-01-11,121.8000030517578,122.0500030517578,121.66000366210938,121.73999786376952,8622400,Gold,0.001727170986037141,0.0017256811414605045,0.003873742797412927,,
2019-01-11,2596.260009765625,2596.27001953125,2577.39990234375,2588.110107421875,3447460000,SP500,-0.00014629784190933748,-0.0001463085444824661,0.03435416288342363,,
2019-01-12,3661.301025390625,3698.978271484375,3653.810791015625,3686.97314453125,4778170883,Bitcoin,-0.007068584135981104,-0.0070936849314874395,-0.04740940419580508,,
2019-01-12,125.9665298461914,128.66612243652344,125.4467544555664,127.52808380126952,2212109224,Ethereum,-0.012401532861499032,-0.012479073619950824,-0.10547467959063994,,
2019-01-13,3552.953125,3674.760009765625,3544.92724609375,3658.8681640625,4681302466,Bitcoin,-0.029592732102399433,-0.030039431790895278,-0.07559916250070364,,
2019-01-13,116.8978042602539,126.26787567138672,116.08596801757812,125.9072265625,2268263944,Ethereum,-0.07199313656580575,-0.07471615028126666,-0.16987436314444215,,
2019-01-14,3706.05224609375,3727.836181640625,3552.28515625,3557.31103515625,5651384490,Bitcoin,0.04309066731460187,0.04218810159294485,-0.03576611354668213,,
2019-01-14,129.0687255859375,130.8567352294922,116.96755981445312,116.97909545898438,2798085735,Ethereum,0.10411591049723246,0.09904493373611378,-0.08344507663613077,,
2019-01-14,122.08999633789062,122.23999786376952,121.87000274658205,122.1500015258789,6477100,Gold,0.002380897199235621,0.002378067354322114,0.00626386298002557,,
2019-01-14,2582.610107421875,2589.320068359375,2570.409912109375,2580.31005859375,3689370000,SP500,-0.005257525167898014,-0.00527139458724949,0.02891601983954395,,
2019-01-15,3630.67529296875,3720.1533203125,3619.94921875,3704.21630859375,5537192302,Bitcoin,-0.020338880328643172,-0.020548563372547957,-0.055377551172078654,,
2019-01-15,122.03271484375,130.74356079101562,120.3115234375,129.1726837158203,2735449164,Ethereum,-0.054513676417318746,-0.05605585573421466,-0.13340985514708914,,
2019-01-15,121.87999725341795,122.37999725341795,121.62000274658205,122.27999877929688,7512500,Gold,-0.0017200351443330542,-0.001721516103226458,0.004533053771227591,,
2019-01-15,2610.300048828125,2613.080078125,2585.10009765625,2585.10009765625,3601180000,SP500,0.010721688622945758,0.010664618879761001,0.039947737023424246,,
2019-01-16,3655.0068359375,3685.777099609375,3624.67333984375,3631.509765625,5394457145,Bitcoin,0.006701657682214313,0.006679301401546422,-0.04904701488109897,,
2019-01-16,123.54706573486328,127.11824798583984,121.44141387939452,121.80924224853516,2746469340,Ethereum,0.01240938459045382,0.012333019292702115,-0.12265600475731231,,
2019-01-16,122.2699966430664,122.44000244140624,122.0199966430664,122.04000091552734,6878100,Gold,0.003199863787636481,0.0031947551186356582,0.00774742271347395,,
2019-01-16,2616.10009765625,2625.760009765625,2612.679931640625,2614.75,3882180000,SP500,0.0022219854881162515,0.0022195205290883643,0.042258485803489565,,
2019-01-17,3678.56396484375,3680.135986328125,3621.9609375,3651.87109375,5464420383,Bitcoin,0.006445166852939055,0.006424485580328479,-0.04291796422270722,,
2019-01-17,123.7419204711914,124.27072143554688,120.81703186035156,123.57353973388672,2594091285,Ethereum,0.0015771700863078664,0.0015759276597410881,-0.1212722840526137,,
